"","County_FIPS_Code","State_FIPS_Code","CHSI_County_Name","CHSI_State_Name","CHSI_State_Abbr","Strata_ID_Number","Strata_Determining_Factors","Number_Counties","Population_Size","Population_Density","Poverty","Age_19_Under","Age_19_64","Age_65_84","Age_85_and_Over","White","Black","Native_American","Asian","Hispanic","No_HS_Diploma","Unemployed","Sev_Work_Disabled","Major_Depression","Recent_Drug_Use","Ecol_Rpt","Ecol_Rpt_Ind","Ecol_Exp","Salm_Rpt","Salm_Rpt_Ind","Salm_Exp","Shig_Rpt","Shig_Rpt_Ind","Shig_Exp","Toxic_Chem","Carbon_Monoxide_Ind","Nitrogen_Dioxide_Ind","Sulfur_Dioxide_Ind","Ozone_Ind","Particulate_Matter_Ind","Lead_Ind","EH_Time_Span","No_Exercise","Few_Fruit_Veg","Obesity","High_Blood_Pres","Smoker","Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Prim_Care_Phys_Rate","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind","A_Wh_Comp","A_Bl_Comp","A_Ot_Comp","A_Hi_Comp","A_Wh_BirthDef","A_Bl_BirthDef","A_Ot_BirthDef","A_Hi_BirthDef","B_Wh_Injury","B_Bl_Injury","B_Ot_Injury","B_Hi_Injury","B_Wh_Cancer","B_Bl_Cancer","B_Ot_Cancer","B_Hi_Cancer","B_Wh_Homicide","B_Bl_Homicide","B_Ot_Homicide","B_Hi_Homicide","C_Wh_Injury","C_Bl_Injury","C_Ot_Injury","C_Hi_Injury","C_Wh_Homicide","C_Bl_Homicide","C_Ot_homicide","C_Hi_Homicide","C_Wh_Suicide","C_Bl_Suicide","C_Ot_Suicide","C_Hi_Suicide","C_Wh_Cancer","C_Bl_Cancer","C_Ot_Cancer","C_Hi_Cancer","D_Wh_Injury","D_Bl_Injury","D_Ot_Injury","D_Hi_Injury","D_Wh_Cancer","D_Bl_Cancer","D_Ot_Cancer","D_Hi_Cancer","D_Wh_HeartDis","D_Bl_HeartDis","D_Ot_HeartDis","D_Hi_HeartDis","D_Wh_Suicide","D_Bl_Suicide","D_Ot_Suicide","D_Hi_Suicide","D_Wh_HIV","D_Bl_HIV","D_Ot_HIV","D_Hi_HIV","D_Wh_Homicide","D_Bl_Homicide","D_Ot_Homicide","D_Hi_Homicide","E_Wh_Cancer","E_Bl_Cancer","E_Ot_Cancer","E_Hi_Cancer","E_Wh_HeartDis","E_Bl_HeartDis","E_Ot_HeartDis","E_Hi_HeartDis","F_Wh_HeartDis","F_Bl_HeartDis","F_Ot_HeartDis","F_Hi_HeartDis","F_Wh_Cancer","F_Bl_Cancer","F_Ot_Cancer","F_Hi_Cancer","LCD_Time_Span","ALE","US_ALE","All_Death","US_All_Death","Health_Status","US_Health_Status","Unhealthy_Days","US_Unhealthy_Days"
"321","005","12","Bay","Florida","FL",6,"frontier status, population size, poverty",53,161558,212,12.8,24.6,61.4,12.8,1.2,84.4,11.3,0.8,1.9,3.1,20866,2962,6190,8648,8385,1,3,5,329,4,73,273,4,46,8367198,1,1,1,1,1,1,NA,23.7,76.6,20.5,22.4,24.7,6.9,21318,20927,4534,56.9,37.1,1,2,40,58,NA,NA,21,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,14,23,NA,NA,14,16,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,33,29,NA,NA,24,21,NA,NA,34,39,13,NA,22,19,26,NA,NA,75.3,76.5,961.1,898.6,18.5,17.1,6.3,6
"322","007","12","Bradford","Florida","FL",44,"frontier status, population size, poverty, age",33,28118,96,16.2,21.9,65.4,11.5,1.3,76.3,21.9,0.4,0.8,2.9,5046,419,1000,1558,1519,0,3,3,71,4,31,25,4,13,0,1,1,1,1,1,1,NA,32.2,84.3,25.9,NA,21.8,8.1,3409,2734,741,21.3,24.9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,11,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,27,13,NA,NA,12,NA,NA,NA,12,13,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,15,NA,NA,34,16,NA,NA,22,31,NA,NA,27,29,NA,NA,21,22,NA,NA,NA,74.2,76.5,1045.2,898.6,13.5,17.1,5.4,6
"323","009","12","Brevard","Florida","FL",4,"frontier status, population size, poverty",25,531250,522,10.1,22,57.9,17.7,2.4,86.9,9.4,0.4,1.9,6,51430,9110,15071,29410,27814,8,3,15,559,4,208,143,4,89,859288,1,1,1,1,1,1,NA,23.7,76.4,20.3,31.5,27.8,8.8,58996,90785,12695,71,40.8,1,2,44,62,NA,NA,30,NA,NA,NA,37,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,48,15,NA,NA,12,NA,NA,NA,NA,13,NA,NA,NA,NA,24,NA,12,NA,12,NA,NA,36,25,NA,33,22,30,NA,25,32,36,38,29,25,20,15,26,NA,77.9,76.5,796.5,898.6,15.5,17.1,6.3,6
"324","011","12","Broward","Florida","FL",1,"frontier status, population size",34,1777638,1475,12.5,25.6,60.4,11.4,2.6,70.4,24.9,0.3,3,21.7,215578,35063,56494,93982,90741,12,3,51,782,4,459,417,4,255,1029246,1,1,1,1,1,1,NA,25.8,70.3,18.8,24.8,18.4,7.1,264560,217263,27629,75.5,43,1,2,50,55,NA,44,15,15,NA,18,33,40,NA,42,25,NA,NA,17,NA,11,NA,NA,54,22,NA,48,NA,27,NA,11,14,NA,NA,11,NA,NA,NA,NA,27,NA,29,29,15,12,14,19,NA,12,11,NA,13,NA,NA,NA,NA,33,NA,NA,NA,NA,11,NA,34,26,28,35,21,23,33,22,37,32,36,32,21,23,15,24,NA,78.3,76.5,748.2,898.6,13.5,17.1,5.6,6
"325","013","12","Calhoun","Florida","FL",67,"frontier status, population size, poverty, age, population density",31,13290,23,18.1,23.1,62.5,12.5,1.8,81.3,15.9,1.4,0.6,4.4,2789,219,553,726,722,0,3,0,28,4,20,14,4,8,NA,1,1,1,1,1,1,NA,NA,NA,17,NA,NA,4.8,2015,1685,459,45.1,30.1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,13,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,31,NA,NA,28,19,NA,NA,37,34,NA,NA,20,23,NA,NA,NA,74.5,76.5,1009.3,898.6,15.5,17.1,3.9,6
"326","015","12","Charlotte","Florida","FL",13,"frontier status, population size, poverty, age",16,157536,227,9.3,16.2,50.1,29.2,4.6,92.7,5.3,0.2,1.1,4.2,22147,2371,5075,9319,7812,4,3,4,155,4,67,28,4,13,NA,1,1,1,1,1,1,NA,22.9,73.2,23.1,37.6,19.9,9.1,15876,37662,3811,66.7,27.3,1,2,38,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,12,NA,NA,NA,13,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,31,NA,NA,23,14,NA,NA,37,33,NA,40,24,24,NA,29,NA,79.5,76.5,680,898.6,14.9,17.1,5.9,6
"327","017","12","Citrus","Florida","FL",6,"frontier status, population size, poverty",53,134370,230,12.4,17.4,51.9,26.9,3.7,94.9,2.8,0.4,1.1,3.4,22320,1957,4843,7846,6849,0,3,4,90,4,59,9,3,37,13508356,1,1,1,1,1,1,NA,28.7,71.9,17.6,38.9,21.8,11.6,16855,33560,3961,52.8,21.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,14,NA,NA,NA,15,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,29,NA,NA,25,25,NA,NA,34,33,NA,34,24,23,NA,18,NA,76.7,76.5,873.7,898.6,19.9,17.1,6.7,6
"328","019","12","Clay","Florida","FL",12,"frontier status, population size, poverty, age",57,171095,285,7.4,26.5,63.3,9.4,0.8,86.6,8.7,0.5,2.5,5.5,15154,2843,4770,8959,9192,0,3,9,161,4,59,77,4,18,450229,1,1,1,1,1,1,NA,21.4,75.6,20.6,21.8,28.9,7.9,17984,15021,2731,70.7,41.5,1,2,38,NA,NA,NA,35,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,20,NA,NA,NA,11,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,20,NA,NA,21,18,NA,NA,29,24,NA,NA,23,23,NA,32,NA,75.9,76.5,978,898.6,12.5,17.1,6.3,6
"329","021","12","Collier","Florida","FL",16,"frontier status, population size, poverty, age",27,307242,152,9.6,21.7,54.6,21.1,2.7,92,5.9,0.4,1.1,24.2,40191,4550,9940,17017,15397,11,3,8,244,4,124,138,4,25,7896,1,1,1,1,1,1,NA,21.3,73.4,19.8,29,17.6,8.4,35984,50728,3430,68.7,34.2,1,2,41,NA,NA,36,29,NA,NA,27,54,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,38,NA,42,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,11,40,19,NA,23,17,16,NA,14,29,21,NA,33,26,20,NA,25,NA,81,76.5,581.9,898.6,13.3,17.1,4.4,6
"330","023","12","Columbia","Florida","FL",8,"frontier status, population size, poverty",54,64040,80,15.6,25.3,60.6,12.6,1.4,80.4,17.4,0.6,0.8,3.5,10688,983,3071,3400,3436,2,4,0,53,4,58,4,3,29,70,1,1,1,1,1,1,NA,30.4,NA,24.8,NA,26.3,10.4,9336,7749,2132,43.7,25,1,2,44,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,14,NA,NA,NA,30,19,NA,NA,16,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,33,25,NA,NA,23,26,NA,NA,30,32,NA,20,22,22,NA,20,NA,73.8,76.5,1068,898.6,23.9,17.1,7.8,6
"331","027","12","DeSoto","Florida","FL",35,"frontier status, population size, poverty, age",27,35406,56,18.3,23.9,58.6,15.6,1.9,84.4,11.8,2.9,0.6,31.2,8538,622,1032,1914,1975,0,3,2,36,4,26,23,4,20,12,1,1,1,1,1,1,NA,NA,78.5,23.9,NA,26,11.3,6924,4244,811,39.5,5.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,33,20,NA,NA,26,22,NA,NA,33,33,NA,NA,21,20,NA,NA,NA,77.6,76.5,767,898.6,23.6,17.1,4.3,6
"332","029","12","Dixie","Florida","FL",75,"frontier status, population size, poverty, age, population density",37,14647,21,18.6,21.7,60.3,16.5,1.5,89.3,9.5,0.5,0.3,2.1,3501,224,745,812,776,1,4,1,30,4,23,20,4,8,31280,1,1,1,1,1,1,NA,NA,NA,25.3,NA,NA,7.4,2414,2139,651,13.7,13.7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,13,NA,NA,NA,35,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,30,NA,NA,27,25,NA,NA,30,35,NA,NA,24,20,NA,NA,NA,74.2,76.5,969.1,898.6,NA,17.1,NA,6
"333","031","12","Duval","Florida","FL",3,"frontier status, population size, poverty",39,826436,1068,12.8,28.1,61.6,9.3,1,64.7,30,0.4,3.4,5.3,91506,17465,25590,42316,42938,6,3,24,899,4,337,1001,4,337,11227930,1,1,1,1,1,1,NA,24.2,77.6,24.4,29.4,21,6.5,108555,81079,17218,107.9,39.6,1,2,47,63,NA,NA,22,11,NA,NA,39,32,NA,NA,14,NA,NA,NA,NA,11,NA,NA,59,18,NA,NA,NA,47,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,29,13,NA,42,12,12,NA,12,NA,12,NA,NA,12,NA,NA,NA,NA,17,NA,NA,NA,14,NA,15,32,24,50,37,21,22,NA,19,29,32,27,37,23,20,28,20,NA,74.5,76.5,992.8,898.6,15.2,17.1,6.1,6
"334","033","12","Escambia","Florida","FL",5,"frontier status, population size, poverty",25,296772,448,15.7,26,59.4,13.1,1.5,71.4,23,0.9,2.6,2.9,34278,5463,12146,15660,16317,0,3,9,271,4,152,415,4,116,40475023,1,1,1,2,1,1,NA,27.9,72.7,27,33.3,26.5,8.4,43450,38777,8158,86.3,44.8,2,2,42,52,NA,NA,25,17,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,33,NA,NA,NA,15,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,31,13,NA,NA,15,15,NA,NA,11,18,NA,NA,11,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,35,26,20,NA,21,24,25,NA,26,32,18,28,22,18,30,16,NA,75.2,76.5,952.9,898.6,18,17.1,6.7,6
"335","035","12","Flagler","Florida","FL",26,"frontier status, population size, poverty, age",40,76410,158,8.2,18.3,56.6,22.6,2.5,88,9.2,0.3,1.6,6.6,8014,1042,2702,4412,4003,0,3,5,45,4,30,1,3,5,247845,1,1,1,1,1,1,NA,21.8,65.6,14.1,34.3,19.5,9.7,6658,15089,1769,35.3,17,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,21,NA,NA,NA,12,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,40,NA,NA,20,10,NA,NA,28,21,NA,31,27,27,NA,15,NA,78.4,76.5,726.1,898.6,16.2,17.1,5.5,6
"336","037","12","Franklin","Florida","FL",71,"frontier status, population size, poverty, age, population density",33,10177,19,14.6,21.7,62,14.7,1.6,88.7,10,0.4,0.4,1.5,2309,202,374,565,520,0,3,0,18,4,16,26,4,5,NA,1,1,1,1,1,1,NA,NA,NA,11.9,NA,NA,2.7,1687,1578,303,59,9.8,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,15,NA,NA,NA,15,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,26,NA,NA,21,26,NA,NA,30,28,NA,NA,23,15,NA,NA,NA,74.5,76.5,979.1,898.6,NA,17.1,NA,6
"337","039","12","Gadsden","Florida","FL",53,"frontier status, population size, poverty, age, population density",27,46428,90,18,27,60.8,10.8,1.4,42.6,56.4,0.3,0.3,7.9,8749,839,1567,2410,2460,1,3,0,24,3,50,17,4,18,150,1,1,1,1,1,1,NA,NA,NA,29.4,NA,21.4,16.6,9187,5314,1743,38.8,21.5,1,1,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,16,NA,NA,14,11,NA,NA,14,14,NA,NA,11,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,37,34,NA,NA,19,22,NA,NA,27,27,NA,NA,20,23,NA,NA,NA,72.9,76.5,1039.4,898.6,22.6,17.1,6.8,6
"338","041","12","Gilchrist","Florida","FL",42,"frontier status, population size, poverty, age",53,16402,47,14.2,24.4,61.4,13.1,1.2,91.9,6.6,0.4,0.3,3.7,2804,222,709,884,986,0,3,1,38,4,22,19,4,11,NA,1,1,1,1,1,1,NA,25.3,NA,NA,NA,NA,8.9,2396,1994,532,6.1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,11,NA,NA,NA,14,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,23,NA,NA,NA,28,17,NA,NA,22,21,NA,NA,NA,74.8,76.5,1003.7,898.6,NA,17.1,8,6
"339","043","12","Glades","Florida","FL",43,"frontier status, population size, poverty, age",57,11252,15,13.1,20.3,59,18.6,2.1,83.6,10.5,4.9,0.5,17.6,2446,214,350,635,600,0,3,2,31,4,14,11,4,6,0,1,1,1,1,1,1,NA,NA,96.4,NA,NA,NA,6.9,1872,854,142,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,27,NA,NA,26,18,NA,NA,36,22,33,NA,28,27,14,NA,NA,76,76.5,834.2,898.6,NA,17.1,NA,6
"340","045","12","Gulf","Florida","FL",41,"frontier status, population size, poverty, age",47,13975,25,15.4,20.4,63.1,15.1,1.5,80.7,17.4,0.7,0.5,2.4,2750,240,513,789,745,0,3,1,55,4,25,6,3,12,1267,1,1,1,1,1,1,NA,NA,NA,NA,NA,23.5,10.1,1955,2268,462,57.2,35.8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,15,30,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,31,36,NA,NA,27,28,NA,NA,34,33,NA,NA,24,21,NA,NA,NA,74.5,76.5,1031,898.6,21.3,17.1,6.6,6
"341","047","12","Hamilton","Florida","FL",67,"frontier status, population size, poverty, age, population density",31,13983,27,21.8,23.6,65.2,10,1.1,62.5,36.5,0.5,0.4,8.3,3448,219,556,758,771,0,3,0,27,4,20,5,3,8,403467,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2415,1523,481,57.2,21.5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,23,NA,NA,10,13,NA,NA,12,20,NA,NA,16,NA,NA,NA,NA,10,NA,NA,10,NA,NA,NA,36,35,NA,NA,35,22,NA,NA,33,32,NA,NA,23,23,NA,NA,NA,74.6,76.5,1088.3,898.6,NA,17.1,NA,6
"342","049","12","Hardee","Florida","FL",69,"frontier status, population size, poverty, age, population density",45,28286,44,20.6,29,57.5,12.2,1.3,88.7,9,1.3,0.7,39.7,7351,578,919,1431,1513,1,3,0,50,4,49,70,4,26,48936,1,1,1,1,1,1,NA,NA,NA,NA,NA,18.2,NA,6307,2782,673,24.7,10.6,1,1,39,NA,NA,NA,30,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,67,12,NA,NA,19,12,NA,NA,11,NA,NA,NA,NA,36,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,36,23,NA,27,25,35,NA,16,33,22,NA,28,21,31,NA,25,NA,77.6,76.5,812.7,898.6,18.9,17.1,4.8,6
"343","051","12","Hendry","Florida","FL",51,"frontier status, population size, poverty, age, population density",33,39561,34,18,31.7,58.1,9.4,0.9,84.2,13.5,1.4,0.6,45.7,10396,1289,1196,1936,2232,0,3,0,83,4,36,69,4,20,899227,1,1,1,1,1,1,NA,NA,NA,NA,NA,23.5,7.6,8529,3301,688,30.3,17.7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,21,NA,44,13,13,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,13,NA,13,32,28,NA,11,25,28,NA,31,40,29,NA,35,20,20,NA,21,NA,76,76.5,943.7,898.6,NA,17.1,NA,6
"344","053","12","Hernando","Florida","FL",6,"frontier status, population size, poverty",53,158409,331,12.1,19.7,53.6,23.5,3.2,93.4,4.6,0.3,0.9,7.4,25034,2574,7540,9002,8177,1,3,4,97,4,67,24,4,42,113743,1,1,1,1,1,1,NA,29.9,71.5,21.5,26.3,24.3,10.3,18239,37156,5472,53.7,17,1,2,36,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,16,NA,NA,NA,12,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,24,NA,32,23,20,NA,14,30,15,NA,27,24,27,NA,21,NA,77.1,76.5,878.8,898.6,21.3,17.1,7.6,6
"345","055","12","Highlands","Florida","FL",24,"frontier status, population size, poverty, age",35,95496,93,13.9,20,48.9,26.7,4.3,88,9.6,0.5,1.3,15,17878,1550,2827,5404,4865,2,3,4,60,4,62,24,4,31,123311,1,1,1,1,1,1,NA,28.2,72.4,20.7,42.7,21,9.6,15429,23512,2454,69.1,28.3,1,2,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,33,NA,12,NA,NA,13,NA,NA,NA,14,NA,NA,17,NA,24,NA,NA,NA,18,NA,NA,35,30,NA,21,25,22,NA,24,34,24,NA,31,24,26,NA,14,NA,78,76.5,733.8,898.6,19.4,17.1,8.2,6
"346","057","12","Hillsborough","Florida","FL",3,"frontier status, population size, poverty",39,1132152,1077,13,26.8,61.7,10.2,1.3,78.7,16.3,0.5,3,20.9,141209,20646,35542,58935,59662,17,3,31,734,4,441,630,4,441,2597715,1,1,1,1,1,1,NA,25.5,77.1,21.9,22.8,24.1,8,159922,117391,24446,88.5,35.9,1,2,52,62,NA,49,21,NA,NA,24,43,60,NA,34,16,NA,NA,13,NA,NA,NA,NA,53,29,NA,64,NA,30,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,32,15,NA,38,13,13,NA,14,13,10,NA,NA,NA,NA,NA,NA,NA,26,NA,10,NA,NA,NA,NA,34,29,34,30,23,23,24,21,33,31,30,33,22,23,20,20,NA,76,76.5,893,898.6,16.8,17.1,6.3,6
"347","059","12","Holmes","Florida","FL",72,"frontier status, population size, poverty, age, population density",32,19264,40,18.6,23.1,61,14,1.9,90.7,6.6,1,0.5,2.7,4580,323,793,1052,1038,0,3,0,36,4,27,2,3,7,0,1,1,1,1,1,1,NA,31.1,NA,NA,NA,NA,13.1,3321,2896,850,41.5,10.4,2,2,41,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,19,NA,NA,NA,13,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,28,50,NA,NA,43,53,NA,NA,19,19,NA,NA,NA,74.8,76.5,1066.2,898.6,NA,17.1,7.4,6
"348","061","12","Indian River","Florida","FL",21,"frontier status, population size, poverty, age",44,128594,256,10,19.9,53.1,23,4,89.8,8.4,0.3,0.9,8.7,17376,2633,4049,7294,6593,1,3,12,136,4,75,5,3,17,285811,1,1,1,1,1,1,NA,19.7,71.1,19,28,22.3,7.4,12963,30142,2509,82.4,44.3,1,2,44,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,33,18,NA,NA,17,10,NA,NA,10,22,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,43,29,NA,NA,21,19,NA,NA,32,37,NA,33,25,25,NA,13,NA,79.3,76.5,712,898.6,12,17.1,5.3,6
"349","063","12","Jackson","Florida","FL",52,"frontier status, population size, poverty, age, population density",40,48985,53,16.2,22.6,62.5,13.1,1.8,70.5,27.3,0.7,0.5,3.5,10343,813,1966,2693,2677,1,3,0,30,3,44,5,3,21,473160,1,1,1,1,1,1,NA,34.2,NA,24.3,NA,23.5,6.8,6703,6854,2068,49,22.5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,28,NA,NA,18,NA,NA,NA,11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,NA,NA,26,23,NA,NA,35,39,NA,NA,19,16,NA,NA,NA,74.8,76.5,979.4,898.6,22.3,17.1,6.8,6
"350","065","12","Jefferson","Florida","FL",67,"frontier status, population size, poverty, age, population density",31,14490,24,16.2,21.2,65,12.4,1.5,62.8,36,0.4,0.4,3.6,2781,219,577,810,762,1,4,0,29,4,21,12,4,8,NA,1,1,1,1,1,1,NA,16.4,NA,18.4,NA,16.3,6.3,1923,1810,423,41.4,13.8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,13,NA,NA,19,13,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,41,24,NA,NA,21,31,NA,NA,28,30,NA,NA,21,20,NA,NA,NA,73.8,76.5,995.3,898.6,16.8,17.1,4.7,6
