County_FIPS_Code,State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,Strata_Determining_Factors,Number_Counties,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Rpt_Ind,Shig_Exp,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind,A_Wh_Comp,A_Bl_Comp,A_Ot_Comp,A_Hi_Comp,A_Wh_BirthDef,A_Bl_BirthDef,A_Ot_BirthDef,A_Hi_BirthDef,B_Wh_Injury,B_Bl_Injury,B_Ot_Injury,B_Hi_Injury,B_Wh_Cancer,B_Bl_Cancer,B_Ot_Cancer,B_Hi_Cancer,B_Wh_Homicide,B_Bl_Homicide,B_Ot_Homicide,B_Hi_Homicide,C_Wh_Injury,C_Bl_Injury,C_Ot_Injury,C_Hi_Injury,C_Wh_Homicide,C_Bl_Homicide,C_Ot_homicide,C_Hi_Homicide,C_Wh_Suicide,C_Bl_Suicide,C_Ot_Suicide,C_Hi_Suicide,C_Wh_Cancer,C_Bl_Cancer,C_Ot_Cancer,C_Hi_Cancer,D_Wh_Injury,D_Bl_Injury,D_Ot_Injury,D_Hi_Injury,D_Wh_Cancer,D_Bl_Cancer,D_Ot_Cancer,D_Hi_Cancer,D_Wh_HeartDis,D_Bl_HeartDis,D_Ot_HeartDis,D_Hi_HeartDis,D_Wh_Suicide,D_Bl_Suicide,D_Ot_Suicide,D_Hi_Suicide,D_Wh_HIV,D_Bl_HIV,D_Ot_HIV,D_Hi_HIV,D_Wh_Homicide,D_Bl_Homicide,D_Ot_Homicide,D_Hi_Homicide,E_Wh_Cancer,E_Bl_Cancer,E_Ot_Cancer,E_Hi_Cancer,E_Wh_HeartDis,E_Bl_HeartDis,E_Ot_HeartDis,E_Hi_HeartDis,F_Wh_HeartDis,F_Bl_HeartDis,F_Ot_HeartDis,F_Hi_HeartDis,F_Wh_Cancer,F_Bl_Cancer,F_Ot_Cancer,F_Hi_Cancer,LCD_Time_Span,ALE,US_ALE,All_Death,US_All_Death,Health_Status,US_Health_Status,Unhealthy_Days,US_Unhealthy_Days,Suicide,LBW,VLBW,Premature,Under_18,Over_40,Unmarried,Late_Care,Infant_Mortality,IM_Hisp,IM_Neonatal,IM_Postneonatal,Brst_Cancer,Col_Cancer,CHD,Homicide,Lung_Cancer,MVA,Stroke,Suicide..160,Injury,Total_Births,Total_Deaths
15,6,Del Norte,California,CA,51,"frontier status, population size, poverty, age, population density",33,28705,28,18.6,23.1,64.2,10.9,1.8,83.3,4.6,6.1,2.9,14.9,5516,802,1486,1546,2020,1,4,0,0,3,28,0,3,15,45,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4711,3471,1029,76.6,45.3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,15,NA,22,NA,30,NA,30,NA,28,NA,25,NA,28,NA,NA,74.7,76.5,955.7,898.6,NA,17.1,NA,6,16.2,4.3,0.7,9.9,7,2.2,48.7,18.9,7.5,NA,2,5.4,NA,21.9,154.6,NA,70.7,25.9,51.7,16.2,36.4,1475,1312
17,6,El Dorado,California,CA,12,"frontier status, population size, poverty, age",57,176841,103,7.5,24,64.3,10.3,1.4,92.5,0.9,1,3.2,10.3,13080,4194,4741,9422,12175,5,3,10,0,3,65,0,3,20,0,1,1,1,2,1,1,NA,14.2,67.8,24,20.4,14.9,4.8,21522,22572,3618,76.9,48.1,1,2,64,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,21,NA,NA,NA,30,NA,32,20,25,NA,24,26,NA,78.7,76.5,758.8,898.6,10.1,17.1,4.8,6,14.3,6.4,1,9.6,2.3,4,24.2,12,4.8,5.2,3.3,1.3,24.6,17,153.7,NA,51.4,13.1,47.1,14.3,19.6,5216,3584
19,6,Fresno,California,CA,3,"frontier status, population size, poverty",39,877584,147,20.6,32.3,58,8.3,1.4,81.4,5.7,1.9,9,46.4,164823,36776,24459,41867,59931,36,3,25,0,3,350,0,3,350,340202,1,1,1,2,1,1,NA,25.8,74.3,27.7,25.1,14.6,7.4,202484,79906,14666,77.9,39.4,1,2,47,53,43,48,23,18,35,22,42,NA,NA,43,15,NA,NA,14,NA,NA,NA,NA,50,30,29,50,13,30,36,18,10,NA,17,NA,NA,NA,NA,NA,28,17,17,31,14,14,15,10,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,11,NA,27,25,31,22,21,24,22,18,34,35,31,31,19,24,21,19,NA,77.1,76.5,836.8,898.6,16.5,17.1,6.4,6,8.7,6.7,1.3,11.8,5.5,2.2,42.6,14,6.4,6.1,4.3,2.1,22.6,15.8,192.4,7.5,43.4,22.6,67.1,8.7,20.8,44463,17288
21,6,Glenn,California,CA,33,"frontier status, population size, poverty, age",41,27759,21,15.2,29.9,57.8,10.5,1.9,92.5,0.9,2.2,3,32.4,5297,985,1317,1370,1901,1,4,1,0,3,23,0,3,9,61711,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,6275,3496,615,14.4,25.2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,10,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,20,NA,NA,NA,29,NA,NA,20,22,NA,NA,14,NA,76.9,76.5,874.6,898.6,NA,17.1,NA,6,20.3,5.3,1.2,9.6,5.1,2.3,33.1,30.7,3,1.1,1,2,28.4,21.2,158.6,NA,62.2,30.1,63.9,20.3,21.9,2016,1195
23,6,Humboldt,California,CA,6,"frontier status, population size, poverty",53,128376,36,15.6,23.2,64.3,10.7,1.9,87.5,1.1,5.4,2.1,7.4,12731,3658,7815,6911,9299,10,4,4,0,3,61,0,3,38,1913790,1,1,1,1,1,1,NA,22.3,NA,23.8,20.4,20.1,8.5,21154,15737,4344,89.6,60.8,1,2,26,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,14,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,36,NA,25,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,23,NA,19,NA,16,NA,28,NA,23,22,23,NA,21,19,NA,75.5,76.5,952.7,898.6,12.5,17.1,7.7,6,18.9,5.3,0.8,8,2.7,2.7,40.3,18,7.1,0,3.7,3.2,26.8,19.8,153.7,8.8,64.6,21.5,53.6,18.9,46,4369,3763
25,6,Imperial,California,CA,7,"frontier status, population size, poverty",33,155823,37,19.8,31.9,57.8,9.1,1.2,90.6,4.2,1.9,2.6,75.1,36849,9740,7760,7492,10772,5,4,9,0,3,83,0,3,79,391051,1,1,1,2,2,1,NA,NA,NA,NA,NA,6.6,13,43126,16132,2693,32.1,16.7,1,2,46,NA,NA,39,29,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,54,12,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,21,NA,NA,22,22,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,19,27,17,NA,NA,13,31,42,37,29,22,17,14,23,NA,77.5,76.5,777.3,898.6,36.7,17.1,8.4,6,5.3,5.4,1,10.5,5.7,1.8,40,23.7,4.4,4.3,3,1.3,21.5,13.9,169.6,5.3,43.3,19.5,61.8,5.3,14.1,8203,2790
27,6,Inyo,California,CA,81,"frontier status, population size, poverty, age",58,18156,2,10.6,22.7,59.2,15.5,2.6,86.2,0.4,10,1.4,15.9,2247,453,1387,983,1228,5,4,5,0,3,22,0,3,2,19136,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,2941,3361,419,121.2,49.6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,26,NA,22,NA,29,NA,37,NA,34,33,20,NA,21,23,NA,78.3,76.5,889.3,898.6,NA,17.1,NA,6,19.3,5.9,0.5,9.6,5.1,2.5,38.9,32.8,7.3,NA,4.5,2.8,26.1,21,232.6,NA,55.4,26.8,64,19.3,30.5,1998,2229
29,6,Kern,California,CA,3,"frontier status, population size, poverty",39,756825,93,18.2,32,59.1,7.8,1.1,85.8,6.2,1.7,4.2,43.6,139010,27239,23329,36250,51564,2,3,21,0,3,291,0,3,291,1686105,1,1,1,2,2,1,NA,30.4,76.3,26.5,27.5,21.4,9,152346,63074,15615,62.2,27.7,1,2,46,38,NA,50,27,21,NA,29,39,NA,NA,45,13,NA,NA,NA,NA,NA,NA,NA,49,19,NA,45,11,47,NA,18,12,NA,NA,10,NA,NA,NA,NA,28,10,38,28,13,NA,15,15,12,25,12,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,10,28,18,23,22,25,31,22,22,37,40,41,41,21,20,18,17,NA,75.7,76.5,972.6,898.6,21.3,17.1,7.5,6,11,6.6,1.2,11.7,5.4,2.1,42.7,16.2,6.2,5,3.7,2.5,27,20.5,268.9,7.1,57.8,21.7,61.9,11,24.7,36837,15524
31,6,Kings,California,CA,7,"frontier status, population size, poverty",33,143420,103,18.2,29.6,63,6.4,0.9,84.3,8.5,2,3.5,46.6,26729,5121,6664,7092,9980,0,3,8,0,3,77,0,3,73,11109180,1,1,1,2,2,1,NA,23.1,NA,25.4,NA,12.6,4.6,27328,9422,2008,37,30,1,2,44,NA,NA,39,28,NA,NA,26,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,56,11,NA,NA,16,11,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,32,13,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,29,31,19,19,24,24,21,32,29,30,29,21,27,14,23,NA,76.6,76.5,865.6,898.6,19.5,17.1,5.6,6,9.4,6.1,1.2,11.1,4.8,1.5,38.6,27.3,6.6,6.1,4.1,2.5,23,18.5,180.6,3.6,50.2,25.6,59.2,9.4,15.9,6813,2282
33,6,Lake,California,CA,24,"frontier status, population size, poverty, age",35,65147,52,14.8,23.7,60.2,13.8,2.4,90.9,2.2,3.1,1.3,14.5,10150,1984,4571,3484,4448,0,3,3,0,3,42,0,3,21,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,19.2,6.2,11580,10272,2566,62.9,30.7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,30,36,20,32,10,12,32,36,43,26,24,28,16,28,NA,75,76.5,959.7,898.6,NA,17.1,7.8,6,15.5,6.1,1.1,9.9,4.8,2.2,44.5,27.2,6.5,8.9,2.9,3.6,23.6,15.8,195.3,3.9,74.2,23.1,74.2,15.5,32.1,3090,3848
35,6,Lassen,California,CA,32,"frontier status, population size, poverty, age",37,34751,8,14.9,20.7,70.4,7.7,1.2,84.3,9.5,3.1,1.4,14.9,4828,993,1841,1930,2571,2,3,2,0,3,24,0,3,7,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4118,3171,801,51.8,63.3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,26,NA,NA,NA,33,NA,NA,NA,22,NA,NA,NA,NA,77.1,76.5,824.6,898.6,NA,17.1,NA,6,15.8,6.6,1.1,9.6,3.3,1.1,17.2,17.9,7.2,NA,5.3,2,16.8,11.8,188.2,NA,51.7,13.8,50.8,15.8,23.4,1519,1031
37,6,Los Angeles,California,CA,1,"frontier status, population size",34,9935475,2447,17.7,28.9,61,8.7,1.4,74.1,9.7,1.1,13.4,46.4,1872316,256472,370924,495905,665392,97,3,293,0,3,2635,0,3,1464,11715163,1,1,1,2,1,1,NA,27.3,71.6,21.3,24.2,16.7,6.7,2167891,911590,118190,93.9,51.1,1,2,48,60,46,46,30,13,27,31,29,19,19,29,20,10,23,21,NA,15,NA,NA,30,13,29,25,36,63,26,44,NA,NA,12,NA,NA,NA,NA,NA,20,12,13,19,16,10,28,16,10,15,13,NA,NA,NA,11,NA,NA,10,NA,NA,NA,21,NA,14,32,27,43,28,24,30,22,21,37,38,33,35,21,23,24,21,NA,78.1,76.5,747.3,898.6,19.5,17.1,6.6,6,7.9,6.8,1.3,10.8,3.5,3.6,38.3,10.3,5.4,5,3.6,1.8,23.3,17.5,210.6,10.7,39.9,9.7,54.1,7.9,13.9,457033,181018
39,6,Madera,California,CA,7,"frontier status, population size, poverty",33,142788,67,18.9,29.5,59.9,9.4,1.3,88.6,4.4,3.1,2.2,47.9,30140,4795,4112,7076,9746,7,4,8,0,3,74,0,3,70,525740,1,1,1,2,1,1,NA,25.8,NA,NA,NA,15.5,10.4,29874,16057,3034,53.2,25.2,1,2,42,NA,NA,44,24,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,54,12,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,39,12,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,26,NA,22,26,13,NA,14,34,33,43,29,20,19,20,15,NA,77.4,76.5,826.6,898.6,NA,17.1,8.5,6,11.7,6.4,0.9,11.6,5.2,2,43.9,18.8,5.9,4.8,4.1,1.8,18.8,14.7,210.1,6.5,49,28.8,56.5,11.7,24.5,6626,2782
41,6,Marin,California,CA,11,"frontier status, population size, poverty, age",44,246960,475,7.3,21.2,64.3,12.3,2.3,88.7,3.1,0.6,5.5,12.4,15885,5049,5868,13576,15907,11,3,15,0,3,89,0,3,30,NA,1,1,1,1,1,1,NA,8.3,66,9.9,23,12,2.8,23521,32943,3009,167.2,100.4,1,2,68,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,17,16,NA,NA,17,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41,57,27,17,20,17,18,30,29,20,25,23,35,24,26,NA,80.8,76.5,636.5,898.6,7.1,17.1,4.5,6,11.3,6.2,0.9,9.2,0.6,9.1,16.6,7.6,3.3,2.6,2.8,0.5,27.1,16,128.2,1.5,42,5.9,55,11.3,14.1,8467,5575
43,6,Mariposa,California,CA,58,"frontier status, population size, poverty, age, population density",48,18069,12,11.3,20,62.6,15.2,2.2,92.3,1.1,3.1,1.1,9.6,1904,546,902,1011,1284,1,3,5,0,3,19,0,3,5,539,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,2760,2793,476,38.7,27.7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,23,NA,NA,NA,30,NA,NA,29,25,NA,NA,29,NA,77.8,76.5,820.7,898.6,NA,17.1,NA,6,11.7,6,0.9,9.9,3.5,3.4,30,29.2,7.2,NA,4,3.2,32.3,19.2,174.6,NA,55.7,35,55.8,11.7,27.4,1429,1678
45,6,Mendocino,California,CA,23,"frontier status, population size, poverty, age",37,88161,25,14.6,25,61.4,11.7,2,90.3,0.8,4.8,1.7,19.2,11333,2542,4636,4642,6000,7,4,4,0,3,74,0,3,35,4977,1,1,1,1,1,1,NA,11.5,NA,NA,NA,NA,10.7,16199,11718,2743,105.5,56.7,1,2,37,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,24,NA,27,NA,13,NA,14,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,30,28,21,NA,25,16,29,NA,27,26,23,NA,19,18,NA,76.6,76.5,859.5,898.6,14.6,17.1,5.5,6,15.9,4.5,0.9,9,4.5,2.7,40.4,38.7,6.6,7.1,3.6,2.8,25.4,21.5,152.8,6.6,54,17.2,65,15.9,34,5337,4142
47,6,Merced,California,CA,7,"frontier status, population size, poverty",33,241706,125,18.2,34.2,57,7.7,1.1,85.4,4.1,1.6,6.8,50.8,49138,9839,7595,11240,16421,8,4,13,0,3,128,0,3,121,222284,1,1,1,2,1,1,NA,34.6,NA,28.7,20.6,19.8,7.5,52448,17668,3350,51.3,28.1,1,2,60,NA,NA,61,23,NA,NA,27,37,NA,NA,36,17,NA,NA,18,10,NA,NA,NA,52,NA,NA,46,12,NA,NA,16,11,NA,NA,NA,NA,NA,NA,NA,29,NA,29,31,14,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,22,32,24,19,16,13,19,31,36,27,25,21,20,13,23,NA,76.6,76.5,881.2,898.6,25.1,17.1,7.8,6,8.4,6.3,1.2,10.9,4.9,2.1,39.3,37,6.5,6.7,4.7,1.8,25.9,19.4,202.4,5.7,46.4,23.8,75.2,8.4,20.5,12258,4432
49,6,Modoc,California,CA,85,"frontier status, population size, poverty, age",25,9524,2,16.5,22.6,59.1,16.2,2.2,92.9,0.8,4,0.7,11.9,1508,319,671,517,659,0,3,1,0,3,8,0,3,5,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1853,1520,306,52.5,31.5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,29,NA,NA,NA,31,NA,24,NA,19,NA,NA,NA,NA,77.1,76.5,936.6,898.6,NA,17.1,NA,6,19.3,6.5,0.9,9,4.2,3.1,25.8,24.8,9.6,NA,2.4,7.2,19.9,18.1,187.4,NA,50.9,28,70.3,19.3,36.3,957,1103
51,6,Mono,California,CA,78,"frontier status, population size, poverty, age",43,12509,4,8.7,23,68.9,7.6,0.5,94.6,0.6,2.5,1.4,22.6,1049,422,608,674,854,1,4,4,0,3,14,0,3,5,NA,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,2270,808,95,71.9,40,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,20,NA,NA,NA,37,NA,NA,NA,24,NA,NA,NA,NA,78.3,76.5,679.9,898.6,NA,17.1,NA,6,16.3,6.8,1,10.3,2.8,3.4,19.8,25.5,3.9,NA,2.3,1.6,NA,NA,186.3,NA,42,28.4,45,16.3,18.9,1461,476
53,6,Monterey,California,CA,5,"frontier status, population size, poverty",25,412104,124,13.7,30.1,60,8.5,1.4,85.5,3.8,1.3,7.1,50.1,78926,15353,12029,20267,27891,3,3,12,0,3,210,0,3,160,9454,1,1,1,1,1,1,NA,30.4,72.2,24.4,20.7,17,4.7,80153,38413,5337,73.5,52.2,1,2,45,NA,NA,49,26,NA,NA,28,42,NA,NA,43,19,NA,NA,16,NA,NA,NA,NA,39,NA,NA,35,34,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,30,17,12,33,12,11,NA,11,NA,NA,12,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,12,32,38,35,28,19,17,23,15,31,30,33,23,21,28,23,21,NA,79.4,76.5,713.5,898.6,22,17.1,6.3,6,9.3,5.8,1,9.9,4.5,2.8,36.7,16.2,5.8,5.6,4.3,1.6,22.6,15.2,144.4,6.1,41.7,14.9,59.6,9.3,17.7,21271,7296
55,6,Napa,California,CA,13,"frontier status, population size, poverty, age",16,132764,176,7.9,24.7,60.8,12.1,2.4,89.3,2,1,5.6,27.3,17566,3046,3171,7004,8942,4,3,4,0,3,58,0,3,12,0,1,1,1,1,1,1,NA,19.1,NA,19.7,NA,12.2,6.1,17325,18945,3091,106.2,61.8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,18,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,33,28,16,NA,19,14,29,33,20,34,22,26,27,25,NA,78.6,76.5,787,898.6,14.3,17.1,7.4,6,7.4,5.4,1.1,8.5,2.5,3.9,23.2,22.2,3.5,5.2,2.3,1.2,24.3,21.2,153.7,NA,51.9,10.7,72.9,7.4,17.1,4806,3847
57,6,Nevada,California,CA,18,"frontier status, population size, poverty, age",20,98394,103,8.3,20.9,62.2,14.6,2.4,95.6,0.4,0.9,1.1,6.7,6804,2281,5550,5447,6799,10,3,9,0,3,75,0,3,14,0,1,1,1,2,1,1,NA,17.4,NA,12.9,NA,8.5,8.3,12295,14956,2035,97.6,63,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,18,NA,NA,NA,29,NA,17,37,25,NA,29,26,NA,79.2,76.5,757,898.6,18.8,17.1,5.2,6,16.8,6,0.7,9.4,2.4,5.1,27.7,16.6,2,3.8,0.5,1.5,21.9,18.7,154.2,3.8,52,16.4,73.1,16.8,25.1,3995,4640
59,6,Orange,California,CA,1,"frontier status, population size",34,2988072,3785,10.6,28.1,61.4,9.1,1.4,78.9,1.9,0.9,16.2,32.1,392129,60432,89065,150645,197331,53,3,88,0,3,790,0,3,439,1374444,1,1,1,2,1,1,NA,18.5,74.3,17.7,20,14.4,4.2,509324,281334,27747,105,60.2,1,2,51,75,32,47,27,13,26,31,26,NA,39,26,23,NA,21,22,NA,NA,NA,NA,35,NA,41,27,16,NA,NA,31,NA,NA,17,NA,11,NA,11,NA,20,17,13,23,21,17,30,19,NA,15,13,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,37,37,45,30,22,23,19,20,35,34,30,33,22,19,24,22,NA,79.7,76.5,687.3,898.6,13.4,17.1,5.3,6,7.6,6,1,9.8,2.4,3.7,26.2,9.3,4.7,5,3.3,1.4,23.2,15.2,177.7,2.8,41,8.5,56,7.6,12.7,135702,51060
61,6,Placer,California,CA,12,"frontier status, population size, poverty, age",57,317028,226,5.9,24.1,61.9,12.1,1.9,90.2,1.3,0.9,4.9,10.5,20463,6440,7655,16837,21528,12,3,17,0,3,109,0,3,33,99068,1,1,1,2,1,1,NA,11.3,68.6,17.3,21.1,15,5.7,31044,35693,4251,104.7,59.3,2,2,44,NA,NA,NA,25,NA,NA,NA,13,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,35,15,NA,NA,22,14,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,30,19,19,NA,17,19,30,29,35,30,25,29,22,21,NA,79.5,76.5,719.9,898.6,5.7,17.1,5.6,6,12.8,5.6,1,8.9,1.6,4.1,18,10.8,4.1,5.2,2.6,1.5,23.4,15.1,152.6,1.2,50.5,12.7,62,12.8,19.7,10318,6387
63,6,Plumas,California,CA,40,"frontier status, population size, poverty, age",62,21477,8,10.1,20.5,61.1,16.3,2.2,94.1,0.8,2.4,0.7,5.9,1855,847,2598,1195,1481,1,3,4,0,3,23,0,3,6,152,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,3107,3482,656,97.8,55.9,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,24,NA,NA,NA,29,NA,NA,NA,27,NA,NA,NA,NA,77.8,76.5,847.5,898.6,NA,17.1,NA,6,19.9,6.6,0.8,8.7,3.7,1.7,28.5,17.5,5.7,NA,3.2,2.5,32.8,18.7,147,5.5,65.4,25.5,41.9,19.9,20.8,1778,2185
